"name","class_id"
"(2-benzhydryloxyethyl)diethyl-methylammonium iodide",5323
"(S)-nicardipine",NULL
"(S)-nitrendipine",5454
"1-Octacosanol",7362
"2-(4-chlorphenoxy)-ethanol",NULL
"2-mercaptobenzothiazole",NULL
"4-dimethylaminophenol",6680
"5-aminolevulinic acid hexyl ester",4152
"abacavir",6709
"abacavir",7737
"abaloparatide",NULL
"abametapir",NULL
"abarelix",NULL
"abatacept",NULL
"abciximab",7620
"abemaciclib",NULL
"abiraterone acetate",NULL
"abrocitinib",NULL
"acadesine",NULL
"acalabrutinib",NULL
"acamprosate",4221
"acarbose",4544
"acebutolol",5110
"acecarbromal",4309
"aceclidine",NULL
"aceclofenac",5179
"acedapsone",NULL
"acediasulfone",NULL
"acefylline",5413
"acefylline",7737
"aceglatone",NULL
"aceglutamide",5667
"acemannan",NULL
"acemetacin",NULL
"acenocoumarol",6626
"acepromazine",5353
"aceprometazine",NULL
"acetamidoeugenol",6160
"acetamidoeugenol",7755
"acetaminosalol",7754
"acetaminosalol",5387
"acetaminosalol",7720
"acetaminosalol",7712
"acetaminosalol",7747
"acetaminosalol",7711
"acetanilide",4024
"acetarsol",7740
"acetarsol",4496
"acetazolamide",5990
"acetic acid",NULL
"acetohexamide",6950
"acetohydroxamic acid",NULL
"acetophenazine",6623
"acetoxolone",4469
"acetrizoic acid",NULL
"acetylcarnitine",5148
"acetylcholine",4104
"acetylcysteine",6809
"acetyldigitoxin",NULL
"acetyldigoxin",4835
"acetyldihydrocodeine",4285
"acetylglycinamide chloral hydrate",NULL
"acetylleucine",6395
"acetylmethadol",NULL
"acetylpheneturide",5233
"acetylpheneturide",7730
"acetylsalicylic acid",6178
"acexamic acid",5605
"acipimox",5497
"acitazanolast",5155
"acitretin",4947
"aclarubicin",NULL
"aclatonium",4193
"aclidinium bromide",NULL
"acotiamide",7576
"acrisorcin",NULL
"acrivastine",5629
"actarit",6131
"actarit",7709
"actinoquinol",5438
"acyclovir",5344
"adalimumab",7572
"adamexine",NULL
"adapalene",6842
"adapalene",7720
"adefovir dipivoxil",4809
"ademetionine",6465
"adenine",6719
"adenosine",5699
"adenosine phosphate",6248
"adenosine triphosphate",6140
"adicillin",5094
"adinazolam",NULL
"adiphenine",6552
"adipic acid",5860
"adipiodone",NULL
"adrafinil",NULL
"adrenalone",4151
"aducanumab",NULL
"afamelanotide",7517
"afatinib",4072
"aflibercept",7585
"afloqualone",4256
"afoxolaner",NULL
"agalsidase alfa",7726
"agalsidase alfa",7738
"agalsidase alfa",7664
"agalsidase alfa",7737
"agalsidase beta",7672
"agomelatine",4342
"air polymer-type A",NULL
"ajmaline",4998
"alacepril",7709
"alacepril",6542
"alacepril",7735
"alacepril",7737
"alanine",6871
"alanyl glutamine",NULL
"alatrofloxacin",4811
"albendazole",5482
"albendazole sulfoxide",6144
"albiglutide",7596
"albutoin",6390
"albutrepenonacog alfa",NULL
"alcaftadine",6172
"alclofenac",6280
"alclometasone dipropionate",7211
"alclometasone dipropionate",7735
"alcuronium",NULL
"aldesleukin",7660
"aldesulfone",NULL
"aldosterone",6067
"alectinib",7612
"alefacept",NULL
"alemtuzumab",7577
"alendronic acid",4299
"alexidine",6217
"alfacalcidol",4522
"alfadolone acetate",3858
"alfaxalone",4508
"alfaxalone",7733
"alfaxalone",7707
"alfentanil",NULL
"alfuzosin",6238
"algeldrate",NULL
"algestone acetophenide",4369
"alginic acid",NULL
"alglucerase",NULL
"alglucosidase alfa",3875
"alibendol",4672
"alimemazine",4676
"alipogene tiparvovec",NULL
"alirocumab",7670
"aliskiren",5076
"alitretinoin",5336
"alizapride",7737
"alizapride",5390
"alkofanone",6307
"allantoin",NULL
"allobarbital",6741
"alloclamide",4746
"allocupreide sodium",6824
"allomethadione",6085
"allopurinol",5421
"allylestrenol",5062
"almagate",7190
"almasilate",NULL
"almecillin",NULL
"alminoprofen",5618
"almitrine",6679
"almotriptan",5536
"alogliptin",NULL
"aloglutamol",7434
"alosetron",6440
"aloxiprin",7435
"alpelisib",NULL
"alpha-Ergocryptine",NULL
"alpha-tocopherol acetate",NULL
"alphaprodine",7709
"alphaprodine",5921
"alpidem",6919
"alpiropride",5295
"alprazolam",6358
"alprenolol",NULL
"alprostadil",7709
"alprostadil",6113
"alprostadil",7754
"alprostadil alfadex",5178
"alsactide",NULL
"alteplase",NULL
"altizide",7709
"altizide",7729
"altizide",7715
"altizide",4245
"altrenogest",NULL
"altretamine",6748
"altropane",NULL
"alum",NULL
"aluminium acetoacetate",7432
"aluminium acetotartrate",7433
"aluminium chloride",7191
"aluminium chloride",7755
"aluminium chlorohydrate",3928
"aluminium clofibrate",7709
"aluminium clofibrate",7192
"aluminium glycinate",7436
"aluminium nicotinate",7437
"aluminium oxide",7194
"aluminium phosphate",7195
"aluminium phosphate",7755
"aluminum acetate",7652
"aluminum carbonate",7229
"alverine",6822
"alvimopan",NULL
"amanozine",5064
"amantadine",4543
"ambazone",5439
"ambenonium",4180
"ambrisentan",7711
"ambrisentan",5484
"ambroxol",4574
"ambucetamide",NULL
"ambuside",6382
"ambutonium",4387
"amcinonide",4502
"amenamevir",NULL
"amezinium metilsulfate",4506
"amfecloral",NULL
"amfetamine",5827
"amfetaminil",6324
"amidefrine",6845
"amifampridine",NULL
"amifostine",NULL
"amikacin",5830
"amiloride",5232
"amiloxate",3916
"aminaphthone",6627
"amineptine",4169
"aminitrozole",5707
"amino(diphenylhydantoin) valeric acid",3850
"aminoacridine",4412
"aminobenzoic acid",6819
"aminobutyric acid",NULL
"aminocaproic acid",NULL
"aminoglutethimide",7715
"aminoglutethimide",4965
"aminohippuric acid",4844
"aminohydroxybutyric acid",NULL
"aminolevulinic acid",4557
"aminomethylbenzoic acid",4317
"aminometradine",5918
"aminophenazone",4328
"aminopicoline",NULL
"aminopromazine",5448
"aminopropylone",4408
"aminopterin",6806
"aminoquinuride",4851
"aminorex",4886
"aminorex",7755
"aminosalicylic acid",6000
"aminosalicylic acid",7755
"aminosalicylic acid hydrazide",5126
"aminoxytriphene",4518
"amiodarone",5217
"amiphenazole",5590
"amisometradine",NULL
"amisulpride",4558
"amitraz",NULL
"amitriptyline",4103
"amitriptylinoxide",6200
"amivantamab",NULL
"amixetrine",NULL
"amlexanox",6913
"amlexanox",7754
"amlodipine",5088
"ammonia",7318
"AMMONIA N-13",7144
"ammonium chloride",NULL
"ammonium lactate",7148
"ammonium lactate",7736
"amobarbital",4434
"amocarzine",4732
"amodiaquine",7056
"amolanone",5399
"amorolfine",7126
"amoscanate",7711
"amoscanate",6475
"amosulalol",6639
"amoxapine",NULL
"amoxicillin",7737
"amoxicillin",6289
"amperozide",NULL
"amphenidone",7739
"amphenidone",7708
"amphenidone",6807
"amphomycin",NULL
"amphotalide",7041
"amphotericin B",5283
"ampicillin",5102
"ampiroxicam",NULL
"amprenavir",NULL
"amprolium",NULL
"amprotropine",4631
"amrinone",5481
"amrinone",7715
"amrubicin",4527
"amsacrine",4668
"amtolmetin guacil",NULL
"amyl nitrite",5840
"amyl nitrite",7720
"amylocaine",5452
"amylocaine",7709
"anagestone acetate",4759
"anagliptin",7564
"anagrelide",4978
"anakinra",7671
"anamorelin",NULL
"anastrozole",NULL
"anazolene",NULL
"ancitabine",6605
"andexanet alfa",NULL
"androisoxazole",5711
"androstanolone",6834
"androstenediol",5285
"androstenedione",5846
"anecortave",NULL
"anethole trithione",4243
"angiotensin II",NULL
"angiotensinamide",4445
"anhydrovinblastine",5852
"anidulafungin",NULL
"anifrolumab",NULL
"anileridine",4195
"aniracetam",5746
"anisindione",6076
"anisindione",7755
"ansuvimab",NULL
"antazoline",4410
"antimony pentasulfide",7518
"antrafenine",5121
"apalcillin",4975
"apalutamide",NULL
"apatinib",NULL
"apixaban",NULL
"apomorphine",5477
"apraclonidine",6854
"apramycin",NULL
"apremilast",7509
"aprepitant",NULL
"aprindine",5649
"aprobarbital",6416
"apronal",6574
"aprotinin",7519
"aranidipine",7756
"aranidipine",4848
"aranidipine",7718
"aranidipine",7709
"arbekacin",NULL
"arbutamine",6147
"arbutin",NULL
"arcitumomab",NULL
"arformoterol",7610
"arformoterol",7735
"arformoterol",7737
"argatroban",NULL
"arginine",6381
"arginine glutamate",NULL
"aripiprazole",NULL
"aripiprazole lauroxil",3849
"aripiprazole lauroxil",7709
"armodafinil",3917
"arotinolol",4904
"arsanilic acid",NULL
"arsenic trioxide",4111
"arsthinol",6848
"artemether",5531
"artemisinin",6061
"artemotil",5522
"artenimol",NULL
"arterolane",NULL
"artesunate",NULL
"articaine",4231
"artisone acetate",5141
"asciminib",NULL
"ascorbic acid",5291
"asenapine",5237
"asfotase alfa",3854
"asfotase alfa",7737
"asparaginase",NULL
"asparagine",4903
"aspartic acid",4498
"aspoxicillin",NULL
"astemizole",6829
"astodrimer",3855
"astromicin",7739
"astromicin",6467
"asulacrine",5691
"asunaprevir",3910
"ataluren",7551
"atazanavir",NULL
"atenolol",5346
"atezolizumab",NULL
"atipamezole",NULL
"atogepant",NULL
"atoltivimab",NULL
"atomoxetine",4692
"atorvastatin",5350
"atosiban",6227
"atovaquone",4940
"atovaquone",7754
"atracurium",NULL
"atrolactamide",4333
"atrolactamide",7754
"atropine",6983
"atropine oxyde",5417
"attapulgite",NULL
"auranofin",NULL
"aurothioglucose",5539
"aurotioprol",7440
"avacopan",NULL
"avalglucosidase alfa",NULL
"avanafil",NULL
"avapritinib",NULL
"avatrombopag",NULL
"avelumab",NULL
"avibactam",7616
"avilamycin",NULL
"avobenzone",NULL
"axitinib",7709
"axitinib",7737
"axitinib",6939
"azacitidine",6399
"azacyclonol",4388
"azanidazole",3956
"azaperone",NULL
"azapetine",5584
"azapropazone",6890
"azaribine",5011
"azasetron",7025
"azatadine",4043
"azathioprine",6239
"azelaic acid",5762
"azelastine",4500
"azelnidipine",6438
"azidamfenicol",4912
"azidocillin",5614
"azilsartan medoxomil",NULL
"azimilide",NULL
"azintamide",6683
"azithromycin",NULL
"azlocillin",NULL
"azosemide",6187
"aztreonam",NULL
"bacampicillin",4499
"bacitracin",4714
"baclofen",7096
"bagrosin",4850
"baicalin",NULL
"balofloxacin",4685
"baloxavir marboxil",NULL
"balsalazide",6168
"balsam peru oil",NULL
"bambermycin",NULL
"bambuterol",4572
"bamethan",6545
"bamifylline",NULL
"bamipine",5079
"bamlanivimab",NULL
"barbexaclone",NULL
"barbital",4442
"baricitinib",NULL
"barium sulfate",NULL
"barnidipine",NULL
"basiliximab",7709
"basiliximab",7607
"bazedoxifene",NULL
"becaplermin",7594
"beclabuvir",NULL
"beclamide",6020
"beclobrate",5915
"beclometasone dipropionate",NULL
"bedaquiline",7417
"befunolol",4276
"befunolol",7729
"befunolol",7743
"bekanamycin",4051
"belantamab mafodotin",NULL
"belatacept",NULL
