"class_name1","class_id1","class_name2","class_id2","ddi_risk","description"
"Monoamine Oxidase Inhibitors",7740,"Alpha/Beta Agonists",7741,"Potentially significant","MAO Inhibitors may enhance the hypertensive effect of Alpha/Beta-Agonists"
"Monoamine Oxidase Inhibitors",7740,"Amphetamines",7742,"Potentially significant","MAO Inhibitors may enhance the hypertensive effect of amphetamines"
"Alpha/Beta Agonists",7741,"Inhalational Anesthetics",7743,"Potentially significant","Inhalational Anesthetics may enhance the arrhythmogenic effect of Alpha/Beta Agonists"
"Monoamine Oxidase Inhibitors",7740,"buspirone",6131,"Potentially significant","May increase blood pressure"
"Monoamine Oxidase Inhibitors",7740,"dextromethorphan",4933,"Contraindicated","fatal/non-fatal reactions"
"Monoamine Oxidase Inhibitors",7740,"levodopa",4329,"Contraindicated","life-threatening hypertensive reaction"
"Monoamine Oxidase Inhibitors",7740,"methyldopa",4397,"Potentially significant","hypertension may occur"
"Monoamine Oxidase Inhibitors",7740,"mirtazapine",4864,"Contraindicated","Label warning"
"Monoamine Oxidase Inhibitors",7740,"pethidine",4687,"Potentially significant","potentially life-threatening reaction"
"Monoamine Oxidase Inhibitors",7740,"tramadol",4843,"Potentially significant","serotonin syndrome"
"Monoamine Oxidase Inhibitors",7740,"Serotonin/Norepinephrine Reuptake Inhibitors",7746,"Contraindicated","serotonin syndrome"
"Monoamine Oxidase Inhibitors",7740,"Selective Serotonin Reuptake Inhibitors",7747,"Contraindicated","serotonin syndrome"
"Monoamine Oxidase Inhibitors",7740,"Indirectly Acting Sympathomimetic Amines",7748,"Contraindicated","potentially fatal hypertensive crisis"
"Monoamine Oxidase Inhibitors",7740,"phenylephrine",4184,"Contraindicated","potentially fatal hypertensive crisis"
"Monoamine Oxidase Inhibitors",7740,"Tricyclic Antidepressants",7749,"Contraindicated","very toxic and sometimes fatal reactions the serotonin syndrome or similar"
"Monoamine Oxidase Inhibitors",7740,"tryptophan",4358,"Contraindicated","severe behavioural and neurological signs of toxicity"
"conivaptan",6386,"CYP3A4 Substrates",7709,"Avoid combination","may increase the serum concentration of CYP3A4 Substrates"
"fusidic acid",6754,"CYP3A4 Substrates",7709,"Avoid combination","may increase the serum concentration of CYP3A4 Substrates"
"riociguat",3872,"Vasodilators Organic Nitrates",7750,"Avoid combination","may enhance the hypotensive effect of riociguat"
"Phosphodiesterase 5 Inhibitors",7751,"Vasodilators Organic Nitrates",7750,"Avoid combination","may enhance the vasodilatory effect of vasodilators"
"cisapride",6588,"Strong CYP3A4 Inhibitors",7710,"Avoid combination","QT prolongation have been reported in patients taking cisapride with other drugs that inhibit CYP3A4"
"Proton Pump Inhibitors",7753,"clopidogrel",5538,"Avoid combination","esomeprazole may diminish the antiplatelet effect of clopidogrel"
"Proton Pump Inhibitors",7753,"dasatinib",6681,"Avoid combination","Proton Pump Inhibitors may decrease the serum concentration of Dasatinib"
"Proton Pump Inhibitors",7753,"delavirdine",6548,"Avoid combination","Proton Pump Inhibitors may decrease the serum concentration of Delavirdine"
"Proton Pump Inhibitors",7753,"erlotinib",6188,"Avoid combination","Proton Pump Inhibitors may decrease the serum concentration of Erlotinib"
"Proton Pump Inhibitors",7753,"nelfinavir",6830,"Avoid combination","Proton Pump Inhibitors may decrease serum concentrations of the active metabolite(s) of Nelfinavir"
"Proton Pump Inhibitors",7753,"ponatinib",7610,"Avoid combination","Proton Pump Inhibitors may decrease the serum concentration of Ponatinib"
"Proton Pump Inhibitors",7753,"rilpivirine",7198,"Avoid combination","Proton Pump Inhibitors may decrease the serum concentration of Rilpivirine"
"Proton Pump Inhibitors",7753,"risedronic acid",5039,"Avoid combination","Proton Pump Inhibitors may diminish the therapeutic effect of Risedronate"
"Moderate Risk QT Prolonging Agents",7755,"High Risk QT Prolonging Agents",7754,"Avoid combination","Moderate Risk QTc-Prolonging Agents may enhance the QTc-prolonging effect of Highest Risk QTc-Prolonging Agents"
"High Risk QT Prolonging Agents",7754,"High Risk QT Prolonging Agents",7754,"Avoid combination","Highest Risk QTc-Prolonging Agents may enhance the QTc-prolonging effect of other Highest Risk QTc-Prolonging Agents"
"amitriptyline",4982,"yohimbine",5852,"Significant","AMITRIPTYLINE/YOHIMBINE HYDROCHLORIDE [VA Drug Interaction]"
"clomipramine",5464,"yohimbine",5852,"Significant","CLOMIPRAMINE/YOHIMBINE HYDROCHLORIDE [VA Drug Interaction]"
"desipramine",4877,"yohimbine",5852,"Significant","DESIPRAMINE/YOHIMBINE HYDROCHLORIDE [VA Drug Interaction]"
"nortriptyline",4846,"yohimbine",5852,"Significant","NORTRIPTYLINE/YOHIMBINE HYDROCHLORIDE [VA Drug Interaction]"
"metformin",4011,"iodamide",6912,"Significant","IODAMIDE MEGLUMINE/METFORMIN HYDROCHLORIDE [VA Drug Interaction]"
"metformin",4011,"ioxaglic acid",7082,"Significant","IOXAGLATE/METFORMIN HYDROCHLORIDE [VA Drug Interaction]"
"atomoxetine",4763,"phenelzine",4033,"Critical","ATOMOXETINE HCL/PHENELZINE [VA Drug Interaction]"
"atomoxetine",4763,"tranylcypromine",4023,"Critical","ATOMOXETINE HCL/TRANYLCYPROMINE [VA Drug Interaction]"
"atomoxetine",4763,"fluoxetine",5387,"Significant","ATOMOXETINE HCL/FLUOXETINE [VA Drug Interaction]"
"atomoxetine",4763,"isocarboxazid",4540,"Critical","ATOMOXETINE HCL/ISOCARBOXAZID [VA Drug Interaction]"
"atomoxetine",4763,"paroxetine",5625,"Significant","ATOMOXETINE HCL/PAROXETINE [VA Drug Interaction]"
"atomoxetine",4763,"quinidine",5573,"Significant","ATOMOXETINE HCL/QUINIDINE [VA Drug Interaction]"
"atomoxetine",4763,"selegiline",4286,"Critical","ATOMOXETINE HCL/SELEGILINE [VA Drug Interaction]"
"atomoxetine",4763,"fosamprenavir",6859,"Significant","ATOMOXETINE HCL/FOSAMPRENAVIR [VA Drug Interaction]"
"gatifloxacin",6045,"pioglitazone",5877,"Critical","GATIFLOXACIN/PIOGLITAZONE HCL [VA Drug Interaction]"
"ciprofloxacin",5645,"sevelamer",7269,"Significant","CIPROFLOXACIN/SEVELAMER HCL [VA Drug Interaction]"
"gemfibrozil",4713,"pioglitazone",5877,"Significant","GEMFIBROZIL/PIOGLITAZONE HCL [VA Drug Interaction]"
